error, position_x, position_y, now_target_x, now_target_y, next_target_x, next_target_y
0.000000, -5.135025, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.120025, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.105025, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.090025, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.075026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.060026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.045026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.030026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.015026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -5.000026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.985026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.970026, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.955027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.940027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.925027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.910027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.895027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.880027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.865027, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.850028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.835028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.820028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.805028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.790028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.775028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.760028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.745028, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.730029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.715029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.700029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.685029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.670029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.655029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.640029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.625030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.610030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.595030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.580030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.565030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.550030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.535030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.520030, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.505031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.490031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.475031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.460031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.445031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.430031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.415031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.400032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.385032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.370032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.355032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.340032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.325032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.310032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.295033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.280033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.265033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.250033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.235033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.220033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.205033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.190033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.175034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.160034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.145034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.130034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.115034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.100034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.085034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.070035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.055035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.040035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.025035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -4.010035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.995035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.980035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.965035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.950035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.935035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.920035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.905035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.890035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.875035, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.860034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.845034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.830034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.815034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.800034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.785034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.770034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.755034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.740034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.725034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.710034, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.695033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.680033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.665033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.650033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.635033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.620033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.605033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.590033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.575033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.560033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.545033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.530032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.515033, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.500032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.485032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.470032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.455032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.440032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.425032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.410032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.395032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.380032, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.365031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.350031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.335031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.320031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.305031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -3.290031, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -3.035029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -3.020029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -3.005029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -2.990029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -2.975029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -2.960029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -2.945029, 5.000001, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.930029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.915029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.900029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.885029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.870029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.855029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.840029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.825029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.810029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.795029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.780029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.765029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.750029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.735029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.720029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.705029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.690029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.675029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.660029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.645029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.630029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.615029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.600029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.585029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.570029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.555029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.540029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000000, -2.525029, 5.000000, -5.000000, 5.000000, 5.000000, 5.000000
0.000001, -2.510029, 4.999999, -5.000000, 5.000000, 5.000000, 5.000000
