error, position_x, position_y, now_target_x, now_target_y, next_target_x, next_target_y
-0.00287866592407227, -5.060195, 5.002879, -5, 5, 5, 5
-0.00327110290527344, -5.0452, 5.003271, -5, 5, 5, 5
-0.00366353988647461, -5.030205, 5.003664, -5, 5, 5, 5
-0.00405597686767578, -5.01521, 5.004056, -5, 5, 5, 5
-0.00444841384887695, -5.000215, 5.004448, -5, 5, 5, 5
-0.00484085083007813, -4.985219, 5.004841, -5, 5, 5, 5
-0.0052332878112793, -4.970224, 5.005233, -5, 5, 5, 5
-0.00562572479248047, -4.955229, 5.005626, -5, 5, 5, 5
-0.00601816177368164, -4.940234, 5.006018, -5, 5, 5, 5
-0.00641059875488281, -4.925239, 5.006411, -5, 5, 5, 5
-0.00680303573608398, -4.910244, 5.006803, -5, 5, 5, 5
-0.00719547271728516, -4.895249, 5.007195, -5, 5, 5, 5
-0.00758790969848633, -4.880254, 5.007588, -5, 5, 5, 5
-0.0079803466796875, -4.865259, 5.00798, -5, 5, 5, 5
-0.00837278366088867, -4.850264, 5.008373, -5, 5, 5, 5
-0.00876522064208984, -4.835268, 5.008765, -5, 5, 5, 5
-0.00915765762329102, -4.820273, 5.009158, -5, 5, 5, 5
-0.00955009460449219, -4.805278, 5.00955, -5, 5, 5, 5
-0.00994253158569336, -4.790283, 5.009943, -5, 5, 5, 5
-0.0103349685668945, -4.775288, 5.010335, -5, 5, 5, 5
-0.0107274055480957, -4.760293, 5.010727, -5, 5, 5, 5
-0.0111198425292969, -4.745298, 5.01112, -5, 5, 5, 5
-0.011512279510498, -4.730303, 5.011512, -5, 5, 5, 5
-0.0119047164916992, -4.715308, 5.011905, -5, 5, 5, 5
-0.0122971534729004, -4.700313, 5.012297, -5, 5, 5, 5
-0.0126895904541016, -4.685318, 5.01269, -5, 5, 5, 5
-0.0130820274353027, -4.670322, 5.013082, -5, 5, 5, 5
-0.0134744644165039, -4.655327, 5.013474, -5, 5, 5, 5
-0.0138669013977051, -4.640332, 5.013867, -5, 5, 5, 5
-0.0142593383789063, -4.625337, 5.014259, -5, 5, 5, 5
-0.0146517753601074, -4.610342, 5.014652, -5, 5, 5, 5
-0.0150442123413086, -4.595347, 5.015044, -5, 5, 5, 5
-0.0154366493225098, -4.580352, 5.015437, -5, 5, 5, 5
-0.0158290863037109, -4.565357, 5.015829, -5, 5, 5, 5
-0.0162215232849121, -4.550362, 5.016222, -5, 5, 5, 5
-0.0166139602661133, -4.535367, 5.016614, -5, 5, 5, 5
-0.0170063972473145, -4.520371, 5.017006, -5, 5, 5, 5
-0.0173988342285156, -4.505376, 5.017399, -5, 5, 5, 5
-0.0177912712097168, -4.490381, 5.017791, -5, 5, 5, 5
-0.018183708190918, -4.475386, 5.018184, -5, 5, 5, 5
-0.0185761451721191, -4.460391, 5.018576, -5, 5, 5, 5
-0.0189685821533203, -4.445396, 5.018969, -5, 5, 5, 5
-0.0193610191345215, -4.430401, 5.019361, -5, 5, 5, 5
-0.0197534561157227, -4.415406, 5.019753, -5, 5, 5, 5
-0.0201458930969238, -4.400411, 5.020146, -5, 5, 5, 5
-0.020538330078125, -4.385416, 5.020538, -5, 5, 5, 5
-0.0209307670593262, -4.37042, 5.020931, -5, 5, 5, 5
-0.0213232040405273, -4.355425, 5.021323, -5, 5, 5, 5
-0.0217156410217285, -4.34043, 5.021716, -5, 5, 5, 5
-0.0221080780029297, -4.325435, 5.022108, -5, 5, 5, 5
